Title,Year,Rating,Duration,Size,Resolution,V_Coec,Bit_depth,A_Codec,Channels,Sub_Format,Hash,Audio #,Sub #
Cure,1997,★★★★½,1h 51min,6.62,HD1080,x265,Bit10,FLAC,2.0,SRT,1893652085,1,2
The Princess Bride,1987,★★★★★,1h 38min,3.74,HD1080,x265,Bit10,AAC,5.1,SRT,2963784230,1,1
A Few Good Men,1992,★★★★,2h 18min,5.98,HD1080,x265,Bit10,AC3,5.1,SRT,704887133,1,4
Forrest Gump,1994,★★★★,2h 22min,5.52,HD1080,x265,Bit10,AAC,5.1,VOB,4167284069,3,4
Kill Bill Vol. 2,2004,★★★★½,2h 16min,5.22,HD1080,x265,Bit10,AAC,5.1,PGS,1841833936,1,7
Okja,2017,★★★½,2h 01min,4.18,HD1080,x265,Bit10,AAC,5.1,SRT,83555977,1,29
Kung Fu Panda 3,2016,★★★★,1h 34min,4.20,HD1080,x265,Bit10,EAC3,5.1,PGS,12861839,1,10
Merry Christmas Mr. Lawrence,1983,★★★½,2h 03min,6.21,HD1080,x265,Bit10,FLAC,2.0,PGS,4101100894,1,1
Snowpiercer,2013,★★★½,2h 05min,4.75,HD1080,x265,Bit10,AAC,7.1,VOB,2635731740,1,2
Twelve Monkeys,1995,★★★★,2h 09min,2.01,HD1080,x265,Bit10,AAC,5.1,SRT,939582923,1,1
300,2006,★★★★,1h 56min,4.61,HD1080,x265,Bit10,AAC,5.1,VOB,2591847528,2,11
Fight Club,1999,★★★★,2h 19min,6.05,HD1080,x265,Bit10,AAC,5.1,VOB,4091089331,5,28
The Grand Budapest Hotel,2014,★★★★★,1h 39min,11.45,UHD4K,x265,Bit10,DTS,5.1,SRT,8171662,1,1
Hana-Bi,1997,,1h 43min,4.39,HD1080,x265,Bit10,AAC,2.0,PGS,705069466,2,1
Lawless,2012,★★★★,1h 55min,4.56,HD1080,x265,Bit10,AAC,5.1,PGS,1431635131,2,1
One Flew Over the Cuckoo's Nest,1975,★★★★★,2h 13min,5.99,HD1080,x265,Bit10,AAC,5.1,PGS,2975070342,2,3
Glass Onion,2022,★★★★,2h 21min,12.14,UHD4K,x265,Bit10,EAC3,5.1,SRT,4059844792,1,44
Hot Fuzz,2007,★★★★,2h 00min,5.27,HD1080,x265,Bit10,AAC,5.1,PGS,388385629,6,1
No Country for Old Men,2007,★★★★½,2h 02min,5.73,HD1080,x265,Bit10,DTS,5.1,VOB,1523682925,2,19
The Blues Brothers,1980,★★★★,2h 27min,6.64,HD1080,x265,Bit10,AAC,5.1,VOB,3455490338,1,3
Black Hawk Down,2001,★★★★,2h 31min,7.07,HD1080,x265,Bit10,AC3,5.1,SRT,347164889,1,3
Fantasia,1940,★★★½,2h 04min,12.75,HD1080,x265,Bit10,DTS,7.1,PGS,1164167591,9,6
3.10 to Yuma,2007,★★★½,2h 02min,5.80,HD1080,x265,Bit10,AAC,7.1,PGS,3934544431,2,1
Unforgiven,1992,★★★★,2h 10min,15.83,UHD4K,x265,Bit10,AAC,5.1,VOB,3628559042,2,25
Kagemusha,1980,★★★★,3h 00min,4.28,HD1080,x265,Bit10,AAC,5.1,VOB,894757548,2,7
Kingsman - The Secret Service,2014,★★★½,2h 08min,4.75,HD1080,x265,Bit10,AAC,7.1,VOB,1080307292,1,13
